channel_id,server_id,date,message_count,active_users
server_001_text_1,server_001,2025-12-18,122,1
server_001_text_2,server_001,2025-12-18,108,1
server_001_text_1,server_001,2025-12-19,0,0
server_001_text_2,server_001,2025-12-19,0,0
server_001_text_1,server_001,2025-12-20,87,1
server_001_text_2,server_001,2025-12-20,122,1
server_001_text_1,server_001,2025-12-21,112,2
server_001_text_2,server_001,2025-12-21,142,2
server_001_text_1,server_001,2025-12-22,134,4
server_001_text_2,server_001,2025-12-22,80,4
server_001_text_1,server_001,2025-12-23,112,6
server_001_text_2,server_001,2025-12-23,49,6
server_001_text_1,server_001,2025-12-24,3,0
server_001_text_2,server_001,2025-12-24,51,7
server_001_text_1,server_001,2025-12-25,179,7
server_001_text_2,server_001,2025-12-25,51,7
server_001_text_1,server_001,2025-12-26,43,17
server_001_text_2,server_001,2025-12-26,36,12
server_001_text_1,server_001,2025-12-27,196,18
server_001_text_2,server_001,2025-12-27,32,8
server_001_text_1,server_001,2025-12-28,71,20
server_001_text_2,server_001,2025-12-28,136,20
server_001_text_1,server_001,2025-12-29,59,14
server_001_text_2,server_001,2025-12-29,46,15
server_001_text_1,server_001,2025-12-30,84,22
server_001_text_2,server_001,2025-12-30,145,22
server_001_text_1,server_001,2025-12-31,133,32
server_001_text_2,server_001,2025-12-31,121,32
server_001_text_1,server_001,2026-01-01,49,16
server_001_text_2,server_001,2026-01-01,45,22
server_001_text_1,server_001,2026-01-02,102,34
server_001_text_2,server_001,2026-01-02,253,41
server_001_text_1,server_001,2026-01-03,114,41
server_001_text_2,server_001,2026-01-03,169,41
server_001_text_1,server_001,2026-01-04,308,42
server_001_text_2,server_001,2026-01-04,43,14
server_001_text_1,server_001,2026-01-05,219,44
server_001_text_2,server_001,2026-01-05,237,44
server_001_text_1,server_001,2026-01-06,181,44
server_001_text_2,server_001,2026-01-06,75,18
server_001_text_1,server_001,2026-01-07,37,37
server_001_text_2,server_001,2026-01-07,139,34
server_001_text_1,server_001,2026-01-08,149,42
server_001_text_2,server_001,2026-01-08,111,22
server_001_text_1,server_001,2026-01-09,134,44
server_001_text_2,server_001,2026-01-09,148,49
server_001_text_1,server_001,2026-01-10,201,40
server_001_text_2,server_001,2026-01-10,44,44
server_001_text_1,server_001,2026-01-11,15,3
server_001_text_2,server_001,2026-01-11,119,29
server_001_text_1,server_001,2026-01-12,109,36
server_001_text_2,server_001,2026-01-12,43,14
server_001_text_1,server_001,2026-01-13,39,13
server_001_text_2,server_001,2026-01-13,231,60
server_001_text_1,server_001,2026-01-14,120,24
server_001_text_2,server_001,2026-01-14,186,46
server_001_text_1,server_001,2026-01-15,38,7
server_001_text_2,server_001,2026-01-15,151,27
server_001_text_1,server_001,2026-01-16,29,14
server_001_text_2,server_001,2026-01-16,157,38
server_001_text_1,server_001,2026-01-17,40,10
server_001_text_2,server_001,2026-01-17,28,7
server_001_text_1,server_001,2026-01-18,47,21
server_001_text_2,server_001,2026-01-18,74,21
server_001_text_1,server_001,2026-01-19,260,57
server_001_text_2,server_001,2026-01-19,111,55
server_001_text_1,server_001,2026-01-20,6,0
server_001_text_2,server_001,2026-01-20,32,16
server_001_text_1,server_001,2026-01-21,231,67
server_001_text_2,server_001,2026-01-21,18,3
server_001_text_1,server_001,2026-01-22,67,11
server_001_text_2,server_001,2026-01-22,128,53
server_001_text_1,server_001,2026-01-23,164,43
server_001_text_2,server_001,2026-01-23,45,11
server_001_text_1,server_001,2026-01-24,127,21
server_001_text_2,server_001,2026-01-24,26,6
server_001_text_1,server_001,2026-01-25,42,14
server_001_text_2,server_001,2026-01-25,176,47
server_001_text_1,server_001,2026-01-26,81,13
server_001_text_2,server_001,2026-01-26,16,3
server_001_text_1,server_001,2026-01-27,89,29
server_001_text_2,server_001,2026-01-27,173,40
server_001_text_1,server_001,2026-01-28,101,23
server_001_text_2,server_001,2026-01-28,59,23
server_001_text_1,server_001,2026-01-29,36,12
server_001_text_2,server_001,2026-01-29,95,37
server_001_text_1,server_001,2026-01-30,67,11
server_001_text_2,server_001,2026-01-30,16,11
server_001_text_1,server_001,2026-01-31,180,91
server_001_text_2,server_001,2026-01-31,185,46
server_001_text_1,server_001,2026-02-01,139,27
server_001_text_2,server_001,2026-02-01,240,38
server_001_text_1,server_001,2026-02-02,130,39
server_001_text_2,server_001,2026-02-02,48,24
server_001_text_1,server_001,2026-02-03,254,66
server_001_text_2,server_001,2026-02-03,68,17
server_001_text_1,server_001,2026-02-04,135,71
server_001_text_2,server_001,2026-02-04,131,71
server_001_text_1,server_001,2026-02-05,254,45
server_001_text_2,server_001,2026-02-05,18,18
server_001_text_1,server_001,2026-02-06,61,20
server_001_text_2,server_001,2026-02-06,197,65
server_001_text_1,server_001,2026-02-07,21,5
server_001_text_2,server_001,2026-02-07,77,12
server_001_text_1,server_001,2026-02-08,100,50
server_001_text_2,server_001,2026-02-08,202,54
server_001_text_1,server_001,2026-02-09,106,26
server_001_text_2,server_001,2026-02-09,72,24
server_001_text_1,server_001,2026-02-10,100,33
server_001_text_2,server_001,2026-02-10,22,7
server_001_text_1,server_001,2026-02-11,79,15
server_001_text_2,server_001,2026-02-11,214,46
server_001_text_1,server_001,2026-02-12,26,5
server_001_text_2,server_001,2026-02-12,113,37
server_001_text_1,server_001,2026-02-13,140,46
server_001_text_2,server_001,2026-02-13,67,33
server_001_text_1,server_001,2026-02-14,133,44
server_001_text_2,server_001,2026-02-14,207,57
server_001_text_1,server_001,2026-02-15,152,21
server_001_text_2,server_001,2026-02-15,114,45
server_001_text_1,server_001,2026-02-16,22,5
server_001_text_2,server_001,2026-02-16,204,36
server_001_text_1,server_001,2026-02-17,90,30
server_001_text_2,server_001,2026-02-17,209,64
server_001_text_1,server_001,2026-02-18,192,96
server_001_text_2,server_001,2026-02-18,55,55
server_001_text_1,server_001,2026-02-19,78,34
server_001_text_2,server_001,2026-02-19,59,19
server_001_text_1,server_001,2026-02-20,264,56
server_001_text_2,server_001,2026-02-20,49,49
server_001_text_1,server_001,2026-02-21,205,68
server_001_text_2,server_001,2026-02-21,271,69
server_001_text_1,server_001,2026-02-22,61,20
server_001_text_2,server_001,2026-02-22,57,14
server_001_text_1,server_001,2026-02-23,209,41
server_001_text_2,server_001,2026-02-23,86,43
server_001_text_1,server_001,2026-02-24,122,35
server_001_text_2,server_001,2026-02-24,67,9
server_001_text_1,server_001,2026-02-25,30,15
server_001_text_2,server_001,2026-02-25,75,12
server_001_text_1,server_001,2026-02-26,59,14
server_001_text_2,server_001,2026-02-26,98,42
server_001_text_1,server_001,2026-02-27,51,21
server_001_text_2,server_001,2026-02-27,159,21
server_001_text_1,server_001,2026-02-28,207,75
server_001_text_2,server_001,2026-02-28,247,75
server_001_text_1,server_001,2026-03-01,162,27
server_001_text_2,server_001,2026-03-01,63,31
server_001_text_1,server_001,2026-03-02,165,41
server_001_text_2,server_001,2026-03-02,107,94
server_001_text_1,server_001,2026-03-03,37,14
server_001_text_2,server_001,2026-03-03,46,14
server_001_text_1,server_001,2026-03-04,235,47
server_001_text_2,server_001,2026-03-04,159,65
server_001_text_1,server_001,2026-03-05,152,30
server_001_text_2,server_001,2026-03-05,135,67
server_001_text_1,server_001,2026-03-06,123,37
server_001_text_2,server_001,2026-03-06,105,37
server_001_text_1,server_001,2026-03-07,220,55
server_001_text_2,server_001,2026-03-07,105,35
server_001_text_1,server_001,2026-03-08,33,16
server_001_text_2,server_001,2026-03-08,127,24
server_001_text_1,server_001,2026-03-09,63,21
server_001_text_2,server_001,2026-03-09,162,31
server_001_text_1,server_001,2026-03-10,72,24
server_001_text_2,server_001,2026-03-10,87,14
server_001_text_1,server_001,2026-03-11,51,21
server_001_text_2,server_001,2026-03-11,36,9
server_001_text_1,server_001,2026-03-12,131,18
server_001_text_2,server_001,2026-03-12,152,30
server_001_text_1,server_001,2026-03-13,107,35
server_001_text_2,server_001,2026-03-13,108,43
server_001_text_1,server_001,2026-03-14,162,54
server_001_text_2,server_001,2026-03-14,313,62
server_001_text_1,server_001,2026-03-15,411,51
server_001_text_2,server_001,2026-03-15,92,30
server_001_text_1,server_001,2026-03-16,23,18
server_001_text_2,server_001,2026-03-16,30,18
server_001_text_1,server_001,2026-03-17,90,22
server_001_text_2,server_001,2026-03-17,31,15
server_001_text_1,server_001,2026-03-18,203,34
server_001_text_2,server_001,2026-03-18,111,34
server_001_text_1,server_001,2026-03-19,125,41
server_001_text_2,server_001,2026-03-19,114,57
server_001_text_1,server_001,2026-03-20,97,32
server_001_text_2,server_001,2026-03-20,289,43
server_001_text_1,server_001,2026-03-21,33,6
server_001_text_2,server_001,2026-03-21,84,42
server_001_text_1,server_001,2026-03-22,169,56
server_001_text_2,server_001,2026-03-22,115,38
server_001_text_1,server_001,2026-03-23,99,19
server_001_text_2,server_001,2026-03-23,152,44
server_001_text_1,server_001,2026-03-24,208,207
server_001_text_2,server_001,2026-03-24,48,48
server_001_text_1,server_001,2026-03-25,181,49
server_001_text_2,server_001,2026-03-25,83,13
server_001_text_1,server_001,2026-03-26,212,57
server_001_text_2,server_001,2026-03-26,70,17
server_001_text_1,server_001,2026-03-27,80,24
server_001_text_2,server_001,2026-03-27,83,24
server_001_text_1,server_001,2026-03-28,191,47
server_001_text_2,server_001,2026-03-28,278,92
server_001_text_1,server_001,2026-03-29,51,25
server_001_text_2,server_001,2026-03-29,275,41
server_001_text_1,server_001,2026-03-30,119,23
server_001_text_2,server_001,2026-03-30,67,31
server_001_text_1,server_001,2026-03-31,135,19
server_001_text_2,server_001,2026-03-31,151,75
server_001_text_1,server_001,2026-04-01,147,35
server_001_text_2,server_001,2026-04-01,63,35
server_001_text_1,server_001,2026-04-02,94,47
server_001_text_2,server_001,2026-04-02,175,89
server_001_text_1,server_001,2026-04-03,172,91
server_001_text_2,server_001,2026-04-03,89,89
server_001_text_1,server_001,2026-04-04,57,21
server_001_text_2,server_001,2026-04-04,41,13
server_001_text_1,server_001,2026-04-05,127,63
server_001_text_2,server_001,2026-04-05,193,64
server_001_text_1,server_001,2026-04-06,196,65
server_001_text_2,server_001,2026-04-06,35,17
server_001_text_1,server_001,2026-04-07,320,43
server_001_text_2,server_001,2026-04-07,46,43
server_001_text_1,server_001,2026-04-08,114,19
server_001_text_2,server_001,2026-04-08,36,6
server_001_text_1,server_001,2026-04-09,88,17
server_001_text_2,server_001,2026-04-09,140,35
server_001_text_1,server_001,2026-04-10,161,32
server_001_text_2,server_001,2026-04-10,114,57
server_001_text_1,server_001,2026-04-11,88,17
server_001_text_2,server_001,2026-04-11,193,32
server_001_text_1,server_001,2026-04-12,93,20
server_001_text_2,server_001,2026-04-12,70,11
server_001_text_1,server_001,2026-04-13,123,17
server_001_text_2,server_001,2026-04-13,25,5
server_001_text_1,server_001,2026-04-14,185,45
server_001_text_2,server_001,2026-04-14,63,31
server_001_text_1,server_001,2026-04-15,146,36
server_001_text_2,server_001,2026-04-15,155,77
server_001_text_1,server_001,2026-04-16,173,40
server_001_text_2,server_001,2026-04-16,108,27
server_001_text_1,server_001,2026-04-17,138,22
server_001_text_2,server_001,2026-04-17,54,18
server_001_text_1,server_001,2026-04-18,191,38
server_001_text_2,server_001,2026-04-18,55,18
server_001_text_1,server_001,2026-04-19,63,63
server_001_text_2,server_001,2026-04-19,234,58
server_001_text_1,server_001,2026-04-20,190,95
server_001_text_2,server_001,2026-04-20,88,88
server_001_text_1,server_001,2026-04-21,83,22
server_001_text_2,server_001,2026-04-21,51,17
server_001_text_1,server_001,2026-04-22,85,28
server_001_text_2,server_001,2026-04-22,142,45
server_001_text_1,server_001,2026-04-23,41,10
server_001_text_2,server_001,2026-04-23,147,24
server_001_text_1,server_001,2026-04-24,145,36
server_001_text_2,server_001,2026-04-24,48,12
server_001_text_1,server_001,2026-04-25,104,26
server_001_text_2,server_001,2026-04-25,175,35
server_001_text_1,server_001,2026-04-26,56,36
server_001_text_2,server_001,2026-04-26,230,36
server_001_text_1,server_001,2026-04-27,21,10
server_001_text_2,server_001,2026-04-27,195,48
server_001_text_1,server_001,2026-04-28,55,13
server_001_text_2,server_001,2026-04-28,94,25
server_001_text_1,server_001,2026-04-29,84,16
server_001_text_2,server_001,2026-04-29,89,25
server_001_text_1,server_001,2026-04-30,76,25
server_001_text_2,server_001,2026-04-30,262,52
server_001_text_1,server_001,2026-05-01,66,33
server_001_text_2,server_001,2026-05-01,160,33
server_001_text_1,server_001,2026-05-02,109,34
server_001_text_2,server_001,2026-05-02,71,14
server_001_text_1,server_001,2026-05-03,282,94
server_001_text_2,server_001,2026-05-03,77,25
server_001_text_1,server_001,2026-05-04,145,24
server_001_text_2,server_001,2026-05-04,6,1
server_001_text_1,server_001,2026-05-05,53,10
