server_id,date,total_messages,new_members,active_members,total_members,day_of_week,is_weekend
server_001,2025-12-18,230,1,1,1,3,0
server_001,2025-12-19,0,0,1,1,4,0
server_001,2025-12-20,209,0,1,1,5,1
server_001,2025-12-21,254,1,2,2,6,1
server_001,2025-12-22,214,2,4,4,0,0
server_001,2025-12-23,161,2,6,6,1,0
server_001,2025-12-24,54,1,7,7,2,0
server_001,2025-12-25,230,0,7,7,3,0
server_001,2025-12-26,79,11,17,18,4,0
server_001,2025-12-27,228,0,18,18,5,1
server_001,2025-12-28,207,2,20,20,6,1
server_001,2025-12-29,105,0,20,20,0,0
server_001,2025-12-30,229,2,22,22,1,0
server_001,2025-12-31,254,10,32,32,2,0
server_001,2026-01-01,94,8,27,40,3,0
server_001,2026-01-02,355,1,41,41,4,0
server_001,2026-01-03,283,0,41,41,5,1
server_001,2026-01-04,351,1,42,42,6,1
server_001,2026-01-05,456,2,44,44,0,0
server_001,2026-01-06,256,0,44,44,1,0
server_001,2026-01-07,176,2,46,46,2,0
server_001,2026-01-08,260,2,42,48,3,0
server_001,2026-01-09,282,2,50,50,4,0
server_001,2026-01-10,245,6,56,56,5,1
server_001,2026-01-11,134,2,49,58,6,1
server_001,2026-01-12,152,2,41,60,0,0
server_001,2026-01-13,270,0,60,60,1,0
server_001,2026-01-14,306,1,61,61,2,0
server_001,2026-01-15,189,6,27,67,3,0
server_001,2026-01-16,186,0,38,67,4,0
server_001,2026-01-17,68,3,11,70,5,1
server_001,2026-01-18,121,1,21,71,6,1
server_001,2026-01-19,371,2,57,73,0,0
server_001,2026-01-20,38,3,20,76,1,0
server_001,2026-01-21,249,2,67,78,2,0
server_001,2026-01-22,195,0,53,78,3,0
server_001,2026-01-23,209,0,43,78,4,0
server_001,2026-01-24,153,0,23,78,5,1
server_001,2026-01-25,218,1,47,79,6,1
server_001,2026-01-26,97,3,13,82,0,0
server_001,2026-01-27,262,3,40,85,1,0
server_001,2026-01-28,160,0,23,85,2,0
server_001,2026-01-29,131,0,37,85,3,0
server_001,2026-01-30,83,6,11,91,4,0
server_001,2026-01-31,365,0,91,91,5,1
server_001,2026-02-01,379,7,38,98,6,1
server_001,2026-02-02,178,0,39,98,0,0
server_001,2026-02-03,322,2,66,100,1,0
server_001,2026-02-04,266,1,71,101,2,0
server_001,2026-02-05,272,2,45,103,3,0
server_001,2026-02-06,258,3,88,106,4,0
server_001,2026-02-07,98,1,52,107,5,1
server_001,2026-02-08,302,0,54,107,6,1
server_001,2026-02-09,178,0,31,107,0,0
server_001,2026-02-10,122,3,43,110,1,0
server_001,2026-02-11,293,0,46,110,2,0
server_001,2026-02-12,139,2,39,112,3,0
server_001,2026-02-13,207,2,103,114,4,0
server_001,2026-02-14,340,0,57,114,5,1
server_001,2026-02-15,266,1,45,115,6,1
server_001,2026-02-16,226,2,36,117,0,0
server_001,2026-02-17,299,11,64,128,1,0
server_001,2026-02-18,247,2,130,130,2,0
server_001,2026-02-19,137,1,34,131,3,0
server_001,2026-02-20,313,0,56,131,4,0
server_001,2026-02-21,476,5,69,136,5,1
server_001,2026-02-22,118,0,22,136,6,1
server_001,2026-02-23,295,13,76,149,0,0
server_001,2026-02-24,189,4,35,153,1,0
server_001,2026-02-25,105,0,106,153,2,0
server_001,2026-02-26,157,0,42,153,3,0
server_001,2026-02-27,210,0,21,153,4,0
server_001,2026-02-28,454,1,75,154,5,1
server_001,2026-03-01,225,0,75,154,6,1
server_001,2026-03-02,272,1,94,155,0,0
server_001,2026-03-03,83,4,14,159,1,0
server_001,2026-03-04,394,1,65,160,2,0
server_001,2026-03-05,287,0,99,160,3,0
server_001,2026-03-06,228,0,37,160,4,0
server_001,2026-03-07,325,1,161,161,5,1
server_001,2026-03-08,160,2,24,163,6,1
server_001,2026-03-09,225,0,31,163,0,0
server_001,2026-03-10,159,1,33,164,1,0
server_001,2026-03-11,87,0,21,164,2,0
server_001,2026-03-12,283,14,42,178,3,0
server_001,2026-03-13,215,0,43,178,4,0
server_001,2026-03-14,475,4,118,182,5,1
server_001,2026-03-15,503,2,51,184,6,1
server_001,2026-03-16,53,0,18,184,0,0
server_001,2026-03-17,121,0,125,184,1,0
server_001,2026-03-18,314,1,34,185,2,0
server_001,2026-03-19,239,4,63,189,3,0
server_001,2026-03-20,386,6,43,195,4,0
server_001,2026-03-21,117,1,44,196,5,1
server_001,2026-03-22,284,6,74,202,6,1
server_001,2026-03-23,251,3,44,205,0,0
server_001,2026-03-24,256,2,207,207,1,0
server_001,2026-03-25,264,0,49,207,2,0
server_001,2026-03-26,282,9,57,216,3,0
server_001,2026-03-27,163,2,24,218,4,0
server_001,2026-03-28,469,0,93,218,5,1
server_001,2026-03-29,326,0,41,218,6,1
server_001,2026-03-30,186,0,31,218,0,0
server_001,2026-03-31,286,2,75,220,1,0
server_001,2026-04-01,210,9,35,229,2,0
server_001,2026-04-02,269,1,89,230,3,0
server_001,2026-04-03,261,0,91,230,4,0
server_001,2026-04-04,98,3,21,233,5,1
server_001,2026-04-05,320,4,64,237,6,1
server_001,2026-04-06,231,18,80,255,0,0
server_001,2026-04-07,366,6,43,261,1,0
server_001,2026-04-08,150,2,19,263,2,0
server_001,2026-04-09,228,1,80,264,3,0
server_001,2026-04-10,275,0,264,264,4,0
server_001,2026-04-11,281,5,142,269,5,1
server_001,2026-04-12,163,1,20,270,6,1
server_001,2026-04-13,148,0,23,270,0,0
server_001,2026-04-14,248,1,45,271,1,0
server_001,2026-04-15,301,6,77,277,2,0
server_001,2026-04-16,281,6,40,283,3,0
server_001,2026-04-17,192,1,22,284,4,0
server_001,2026-04-18,246,4,46,288,5,1
server_001,2026-04-19,297,0,76,288,6,1
server_001,2026-04-20,278,2,282,290,0,0
server_001,2026-04-21,134,0,22,290,1,0
server_001,2026-04-22,227,5,45,295,2,0
server_001,2026-04-23,188,3,50,298,3,0
server_001,2026-04-24,193,1,39,299,4,0
server_001,2026-04-25,279,1,49,300,5,1
server_001,2026-04-26,286,8,36,308,6,1
server_001,2026-04-27,216,0,48,308,0,0
server_001,2026-04-28,149,0,25,308,1,0
server_001,2026-04-29,173,16,25,324,2,0
server_001,2026-04-30,338,1,84,325,3,0
server_001,2026-05-01,226,3,33,328,4,0
server_001,2026-05-02,180,0,34,328,5,1
server_001,2026-05-03,359,1,94,329,6,1
server_001,2026-05-04,151,0,153,329,0,0
server_001,2026-05-05,220,0,110,329,1,0
server_001,2026-05-06,348,0,121,329,2,0
server_001,2026-05-07,109,0,15,329,3,0
server_001,2026-05-08,223,1,78,330,4,0
server_001,2026-05-09,245,2,50,332,5,1
server_001,2026-05-10,426,0,85,332,6,1
server_001,2026-05-11,200,4,41,336,0,0
server_001,2026-05-12,177,1,24,337,1,0
server_001,2026-05-13,162,1,20,338,2,0
server_001,2026-05-14,229,2,32,340,3,0
server_001,2026-05-15,260,0,90,340,4,0
server_001,2026-05-16,298,8,151,348,5,1
server_001,2026-05-17,268,0,134,348,6,1
server_001,2026-05-18,332,6,52,354,0,0
server_001,2026-05-19,207,5,70,359,1,0
server_001,2026-05-20,223,2,48,361,2,0
server_001,2026-05-21,199,1,33,362,3,0
server_001,2026-05-22,226,1,42,363,4,0
server_001,2026-05-23,280,0,59,363,5,1
server_001,2026-05-24,158,2,34,365,6,1
server_001,2026-05-25,164,3,22,368,0,0
server_001,2026-05-26,243,2,248,370,1,0
server_001,2026-05-27,70,0,19,370,2,0
server_001,2026-05-28,178,4,36,374,3,0
server_001,2026-05-29,88,0,49,374,4,0
server_001,2026-05-30,445,0,94,374,5,1
server_001,2026-05-31,303,0,28,374,6,1
server_001,2026-06-01,242,2,34,376,0,0
server_001,2026-06-02,352,1,74,377,1,0
server_001,2026-06-03,111,0,20,377,2,0
server_001,2026-06-04,265,0,88,377,3,0
server_001,2026-06-05,146,0,50,377,4,0
server_001,2026-06-06,331,6,41,383,5,1
server_001,2026-06-07,303,0,55,383,6,1
server_001,2026-06-08,264,3,68,386,0,0
server_001,2026-06-09,215,0,39,386,1,0
server_001,2026-06-10,281,4,96,390,2,0
server_001,2026-06-11,403,0,70,390,3,0
server_001,2026-06-12,123,0,35,390,4,0
server_001,2026-06-13,237,2,51,392,5,1
server_001,2026-06-14,447,7,149,399,6,1
server_001,2026-06-15,302,1,304,400,0,0
server_001,2026-06-16,24,0,11,400,1,0
server_002,2025-12-18,214,2,2,2,3,0
server_002,2025-12-19,46,0,2,2,4,0
server_002,2025-12-20,289,0,2,2,5,1
server_002,2025-12-21,387,0,2,2,6,1
server_002,2025-12-22,119,1,3,3,0,0
server_002,2025-12-23,163,0,3,3,1,0
server_002,2025-12-24,75,1,4,4,2,0
server_002,2025-12-25,285,3,7,7,3,0
server_002,2025-12-26,295,1,8,8,4,0
server_002,2025-12-27,348,0,8,8,5,1
server_002,2025-12-28,278,0,8,8,6,1
server_002,2025-12-29,231,0,8,8,0,0
server_002,2025-12-30,269,6,14,14,1,0
server_002,2025-12-31,100,1,15,15,2,0
server_002,2026-01-01,262,2,17,17,3,0
server_002,2026-01-02,292,1,18,18,4,0
server_002,2026-01-03,59,0,11,18,5,1
server_002,2026-01-04,248,0,18,18,6,1
server_002,2026-01-05,124,1,19,19,0,0
server_002,2026-01-06,83,0,17,19,1,0
server_002,2026-01-07,115,0,17,19,2,0
server_002,2026-01-08,215,0,19,19,3,0
server_002,2026-01-09,138,5,20,24,4,0
server_002,2026-01-10,341,1,25,25,5,1
server_002,2026-01-11,411,0,25,25,6,1
server_002,2026-01-12,228,1,26,26,0,0
server_002,2026-01-13,305,1,27,27,1,0
server_002,2026-01-14,192,1,28,28,2,0
server_002,2026-01-15,58,1,14,29,3,0
server_002,2026-01-16,320,3,32,32,4,0
server_002,2026-01-17,268,1,33,33,5,1
server_002,2026-01-18,302,0,33,33,6,1
server_002,2026-01-19,309,8,37,41,0,0
server_002,2026-01-20,160,0,41,41,1,0
server_002,2026-01-21,168,1,42,42,2,0
server_002,2026-01-22,303,0,42,42,3,0
server_002,2026-01-23,284,3,45,45,4,0
server_002,2026-01-24,346,0,41,45,5,1
server_002,2026-01-25,192,0,45,45,6,1
server_002,2026-01-26,225,6,51,51,0,0
server_002,2026-01-27,342,3,36,54,1,0
server_002,2026-01-28,356,2,52,56,2,0
server_002,2026-01-29,81,0,25,56,3,0
server_002,2026-01-30,300,1,57,57,4,0
server_002,2026-01-31,332,4,49,61,5,1
server_002,2026-02-01,194,4,24,65,6,1
server_002,2026-02-02,0,0,3,65,0,0
server_002,2026-02-03,223,3,68,68,1,0
server_002,2026-02-04,235,0,68,68,2,0
server_002,2026-02-05,211,0,29,68,3,0
server_002,2026-02-06,217,0,68,68,4,0
server_002,2026-02-07,390,17,85,85,5,1
server_002,2026-02-08,318,4,46,89,6,1
server_002,2026-02-09,151,1,24,90,0,0
server_002,2026-02-10,171,0,29,90,1,0
server_002,2026-02-11,0,1,5,91,2,0
server_002,2026-02-12,172,3,19,94,3,0
server_002,2026-02-13,200,4,30,98,4,0
server_002,2026-02-14,256,2,42,100,5,1
server_002,2026-02-15,216,3,39,103,6,1
